




Julian Date (days)   sc_1_X (km)   sc_1_Y (km)   sc_1_Z (km)   sc_1_V_X (km/s)   sc_1_V_Y (km/s)   sc_1_V_Z (km/s)
2463972.76877   147160724.54545   22564936.70228   -1227458.71931   -4.51403   29.58444   0.03765
2463973.13413   147015428.39654   23497454.15787   -1226246.81290   -4.70056   29.55523   0.03921
2463973.49950   146864252.99418   24429031.93334   -1224985.86800   -4.88689   29.52485   0.04076
2463973.86486   146707204.47012   25359632.78856   -1223675.93574   -5.07303   29.49328   0.04231
2463974.23023   146544289.19415   26289219.52413   -1222317.06926   -5.25896   29.46053   0.04386
2463974.59560   146375513.77382   27217754.98292   -1220909.32367   -5.44467   29.42661   0.04541
2463974.96096   146200885.05412   28145202.05167   -1219452.75606   -5.63017   29.39151   0.04696
2463975.32633   146020410.11721   29071523.66247   -1217947.42550   -5.81544   29.35523   0.04851
2463975.69169   145834096.28208   29996682.79434   -1216393.39305   -6.00047   29.31778   0.05005
2463976.05706   145641951.10426   30920642.47474   -1214790.72172   -6.18526   29.27916   0.05159
2463976.42242   145443982.37547   31843365.78115   -1213139.47651   -6.36979   29.23937   0.05313
2463976.78779   145240198.12326   32764815.84258   -1211439.72436   -6.55407   29.19841   0.05467
2463977.15315   145030606.61070   33684955.84110   -1209691.53421   -6.73809   29.15629   0.05620
2463977.51852   144815216.33598   34603749.01336   -1207894.97693   -6.92183   29.11300   0.05773
2463977.88388   144594036.03206   35521158.65217   -1206050.12537   -7.10529   29.06855   0.05926
2463978.24925   144367074.66627   36437148.10795   -1204157.05432   -7.28846   29.02293   0.06079
2463978.61461   144134341.43993   37351680.79031   -1202215.84053   -7.47134   28.97616   0.06232
2463978.97998   143895845.78794   38264720.16955   -1200226.56269   -7.65391   28.92823   0.06384
2463979.34535   143651597.37835   39176229.77817   -1198189.30145   -7.83617   28.87914   0.06536
2463979.71071   143401606.11198   40086173.21238   -1196104.13939   -8.01812   28.82890   0.06688
2463980.07608   143145882.12193   40994514.13365   -1193971.16103   -8.19974   28.77751   0.06839
2463980.44144   142884435.77319   41901216.27014   -1191790.45282   -8.38103   28.72497   0.06991
2463980.80681   142617277.66213   42806243.41830   -1189562.10314   -8.56197   28.67128   0.07141
